"","Label","Time","Time_Flux"
"1360","S1P6.C2","time",1.06388
"1361","S1P6.C2","Flux",0.00745
"1362","S2P8.C2","time",0.73332
"1363","S2P8.C2","Flux",-0.00909
"1364","S2P4.C2","time",1.02203
"1365","S2P4.C2","Flux",0.00242
"1366","S2P6.C2","time",1.09853
"1367","S2P6.C2","Flux",0.00021
"1368","S3P2.C2","time",1.02131
"1369","S3P2.C2","Flux",-0.00823
"1370","S3P4.C2","time",1.00166
"1371","S3P4.C2","Flux",0.02086
"1372","S3P6.C2","time",1.13229
"1373","S3P6.C2","Flux",0.00971
"1374","S1P1.C1","time",1.0069
"1375","S1P1.C1","Flux",0.01051
"1376","S1P3.C1","time",1.00672
"1377","S1P3.C1","Flux",0.00773
"1378","S1P5.C1","time",-0.97076
"1379","S1P5.C1","Flux",0.00604
"1380","S2P1.C1","time",0.97728
"1381","S2P1.C1","Flux",-0.00555
"1382","S2P3.C1","time",1.09588
"1383","S2P3.C1","Flux",-0.00783
"1384","S2P7.C1","time",0.74757
"1385","S2P7.C1","Flux",-0.00579
"1386","S3P1.C1","time",0.92818
"1387","S3P1.C1","Flux",0.00257
"1388","S3P3.C1","time",1.075
"1389","S3P3.C1","Flux",-0.000569
"1390","S3P5.C1","time",1.04965
"1391","S3P5.C1","Flux",-0.01412
"1392","S1P2.C2","time",-0.9563
"1393","S1P2.C2","Flux",-0.01277
"1394","S1P4.C2","time",1.11046
"1395","S1P4.C2","Flux",-0.01128
"1396","S1P6.C2","time",1.11016
"1397","S1P6.C2","Flux",0.01689
"1398","S2P8.C2","time",0.7547
"1399","S2P8.C2","Flux",0.0092
"1400","S2P4.C2","time",1.06484
"1401","S2P4.C2","Flux",0.0138
"1402","S2P6.C2","time",1.14133
"1403","S2P6.C2","Flux",-0.00059
"1404","S3P2.C2","time",1.06411
"1405","S3P2.C2","Flux",0.00765
"1406","S3P4.C2","time",1.05462
"1407","S3P4.C2","Flux",0.01796
"1408","S3P6.C2","time",1.17856
"1409","S3P6.C2","Flux",-0.0023
"1410","S1P1.C1","time",1.04969
"1411","S1P3.C1","time",1.04944
"1412","S1P3.C1","Flux",0.00972
"1413","S1P5.C1","time",-0.95649
"1414","S1P5.C1","Flux",-0.0131
"1415","S2P1.C1","time",1.00757
"1416","S2P1.C1","Flux",-0.0073
"1417","S2P3.C1","time",1.13868
"1418","S2P3.C1","Flux",-0.01087
"1419","S2P7.C1","time",0.76892
"1420","S2P7.C1","Flux",0.00283
"1421","S3P1.C1","time",0.98723
"1422","S3P1.C1","Flux",0.00618
"1423","S3P3.C1","time",1.1178
"1424","S3P3.C1","Flux",0.00934
"1425","S3P5.C1","time",1.09597
"1426","S3P5.C1","Flux",0.012
"1427","S1P2.C2","time",-0.94204
"1428","S1P2.C2","Flux",-0.04877
"1429","S1P4.C2","time",1.15325
"1430","S1P4.C2","Flux",-0.00695
"1431","S1P6.C2","time",1.15297
"1432","S1P6.C2","Flux",-0.00324
"1433","S2P8.C2","time",0.77605
"1434","S2P8.C2","Flux",0.01397
"1435","S2P4.C2","time",1.11119
"1436","S2P4.C2","Flux",0.00511
"1437","S2P6.C2","time",1.18765
"1438","S2P6.C2","Flux",0.01355
"1439","S3P2.C2","time",1.11045
"1440","S3P2.C2","Flux",-0.000696
"1441","S3P4.C2","time",1.0974
"1442","S3P4.C2","Flux",0.01058
"1443","S3P6.C2","time",1.22134
"1444","S3P6.C2","Flux",0.01091
"1445","S1P1.C1","time",1.09602
"1446","S1P1.C1","Flux",-0.00258
"1447","S1P3.C1","time",1.09572
"1448","S1P3.C1","Flux",0.00119
"1449","S1P5.C1","time",-0.94223
"1450","S1P5.C1","Flux",-0.00898
"1451","S2P1.C1","time",1.05038
"1452","S2P1.C1","Flux",-0.00888
"1453","S2P3.C1","time",1.185
"1454","S2P3.C1","Flux",0.0063
"1455","S2P7.C1","time",0.79382
"1456","S2P7.C1","Flux",0.00217
"1457","S3P1.C1","time",1.04019
"1458","S3P1.C1","Flux",-0.00252
"1459","S3P3.C1","time",1.16412
"1460","S3P3.C1","Flux",0.00977
"1461","S3P5.C1","time",1.13878
"1462","S3P5.C1","Flux",-0.00109
"1463","S1P2.C2","time",-0.89126
"1464","S1P2.C2","Flux",0.01231
"1465","S1P4.C2","time",1.19955
"1466","S1P4.C2","Flux",-0.00535
"1467","S1P6.C2","time",1.19931
"1468","S1P6.C2","Flux",0.01921
"1469","S2P8.C2","time",0.80095
"1470","S2P8.C2","Flux",0.01877
